Date,Event,Actual,Forecast,Previous
nov24.2010,US Crude Oil Inventories,1.0M,-1.9M,-7.3M
nov24.2010,US Distillate Inventories,-0.5M,-1.5M,-1.1M
nov24.2010,US Gasoline Inventories,1.9M,-1.3M,-2.7M
nov24.2010,US Natural Gas Storage,-6B,-6B,3B
dec01.2010,US ISM Manufacturing PMI,56.6,56.4,56.9
dec01.2010,US Crude Oil Inventories,1.1M,-0.8M,1.0M
dec01.2010,US Distillate Inventories,-0.2M,-1.1M,-0.5M
dec01.2010,US Gasoline Inventories,0.6M,0.3M,1.9M
dec02.2010,US Natural Gas Storage,-23B,-26B,-6B
dec03.2010,CA Employment Change,15.2K,20.2K,3.0K
dec03.2010,CA Unemployment Rate,7.6%,7.9%,7.9%
dec03.2010,US Average Hourly Earnings m/m,0.0%,0.2%,0.3%
dec03.2010,US Non-Farm Employment Change,39K,143K,172K
dec03.2010,US Unemployment Rate,9.8%,9.6%,9.6%
dec03.2010,US Factory Orders m/m,-0.9%,-0.7%,3.0%
dec03.2010,US ISM Services PMI,55.0,54.7,54.3
dec08.2010,US Crude Oil Inventories,-3.8M,-1.3M,1.1M
dec08.2010,US Distillate Inventories,2.2M,-0.9M,-0.2M
dec08.2010,US Gasoline Inventories,3.8M,-0.3M,0.6M
dec09.2010,US Natural Gas Storage,-89B,-83B,-23B
dec10.2010,US Trade Balance,-38.7B,-43.5B,-44.6B
